,Angola,Australia,British_Virgin_Islands,Cameroon,Central_African_Republic,Comoros,Democratic_Republic_of_the_Congo,Dominican_Republic,El_Salvador,French_Polynesia,Gabon,Haiti,Honduras,Mauritius,Mayotte,Mexico,Micronesia,New_Caledonia,Nicaragua,Nigeria,Panama,Papua_New_Guinea,Puerto_Rico,Reunion,Saint_Lucia,Senegal,Seychelles,Tanzania,Tonga,Trinidad_and_Tobago,USA
Angola,,0.00720553063597,0.00833480468229,0.0349406031124,0.0543321063757,0.0516030483362,0.0292241306867,0.0156755212735,0.0110159004494,0.00396821444897,0.0191661242218,0.0161915882474,0.032607362414,0.0465775059972,0.0259758467397,0.0112664543637,0.0167753493308,0.00502821745484,0.0175686829263,0.0130159600442,0.00480561957207,0.0390763970486,0.00388809432671,0.113551161455,0.0593184987989,0.0315920725069,0.0390703945701,0.111149442026,0.00130740890193,0.00722515458398,0.0274950793415
Australia,0.162045197449,,0.0534578550167,0.000563348382963,0.000358429142136,0.00743260226317,0.113997821886,0.00422858645967,0.00886927264752,0.0161893193261,0.0288164322146,0.00930752932315,0.0330521486149,0.00840325082099,0.00328884281058,0.00631910945932,0.0122361200589,0.279661187083,0.0686743208403,0.0226582442569,0.0139939453216,0.78420720328,0.00349804542903,0.082091213942,0.0271882757771,0.0364556967564,0.0441411909865,0.210481035201,0.0129322413335,0.03798635937,0.0795762798112
British_Virgin_Islands,0.0447959965886,0.0968532300375,,0.0224742718768,0.00255713004476,0.0235818551666,0.044648814686,0.0244791956581,0.0843006541786,0.216223460202,0.0407833321549,0.0736485172901,0.00897659053376,0.282550142213,0.247748186265,0.157606164824,0.0648629321537,0.190786092314,0.0157452593578,0.00436332372339,0.0467708365242,0.0440373649693,0.0082043231721,0.0340090552442,0.11194960858,0.0345333705651,0.108137172553,0.13972329697,0.633572586425,0.0385909471419,0.0770042015702
Cameroon,0.00194857958313,0.000224050776242,0.0375283813246,,0.00559762384222,0.00506838753286,0.0258969623227,0.0687906502976,0.000154995158335,0.0,0.171979849106,0.00154836845768,0.00638719934189,0.0108004135336,0.00398500790587,0.000612217988345,0.0,0.0232468527772,0.000157648351142,0.0683879903934,0.00307195298833,0.00439208493938,0.00152210066687,0.015967494693,0.00711176739391,0.0167226004183,0.0147976277138,0.00473813692309,0.0609832945463,0.00648881578048,0.0100778242913
Central_African_Republic,0.0,0.0,0.0,0.0,,0.0,0.0,5.38748289341e-05,0.0,0.0,0.0,0.0,0.0,0.00485075217429,0.0,0.000868285786074,0.0,0.0,0.0,0.0,0.00125771487553,0.0,0.0,0.00181759306693,0.000422720472678,0.000343998822946,6.25555163182e-05,0.00250830185866,0.0,0.0,0.0
Comoros,0.0242624708352,0.00261523079329,0.0244741560894,0.00480389067259,0.062855121536,,0.0616898560336,0.00330039013916,0.0210703178691,0.0431727842908,0.138921119335,0.0332572503974,0.0275411041857,0.0245916946801,0.213498616819,0.00753750578232,0.0356989944403,0.0195398007278,0.00698341961387,0.0283952910185,0.013282116067,0.0153630131162,0.0417726743203,0.0877256110877,0.00498660501355,0.0230740377701,0.365685827293,0.185293695626,0.0492483954365,0.0119699057624,0.144494418927
Democratic_Republic_of_the_Congo,0.00312589515431,0.0,0.00920303530735,0.00495107633293,0.0,0.0720698456846,,0.000380493058436,0.0101026704416,0.0013147521886,0.00329395300168,0.00413121716567,0.024993513273,0.12229124199,0.000488010597034,0.0,0.00249774394265,0.00410353404248,0.0334397474076,0.0,5.20490985343e-05,0.0,0.00425214829351,0.139976744145,0.0,0.000303947937055,0.0011700116353,0.0,0.00638293182913,0.0,0.000949276273738
Dominican_Republic,0.0796451880052,0.309090627166,0.0836740850657,0.193742545918,0.00234053567673,0.0342557003455,0.0375667987058,,0.0495385496328,0.0934565087972,0.140643406594,0.140775943285,0.0611506474833,0.00248654322,0.02237722571,0.0714869403301,0.0637424515871,0.24020633027,0.0847516970012,0.037092694841,0.0923525989042,0.0317647862637,0.0978523359249,0.151254125374,0.00301067614796,0.013128414141,0.0412062412356,0.0704030891669,0.355944951163,0.0786921714627,0.08470790225
El_Salvador,0.0666060093176,0.0607476176391,0.11828607712,0.00301618082438,0.0170326411866,0.00482297741024,0.0421263849383,0.208872165513,,0.053326268547,0.0676973935489,0.0206770870103,0.374885690895,0.0138134594536,0.0142179025126,0.13781851564,0.110780785563,0.0486585629043,0.161598951624,0.00254333980024,0.39874589925,0.010808331877,0.510712256729,0.0233917754919,0.15927545885,0.00644433249818,0.00994383706837,0.00406266677426,0.178845000161,0.248057651724,0.0919789116217
French_Polynesia,0.0749468794645,0.0106225727799,0.00149775266197,0.10946615985,0.0378102095371,0.136791941334,0.0754319448812,0.00483029759917,0.0228073087499,,0.073365191787,0.0633435231036,0.0890089915458,0.000779626989138,0.00598737296045,0.0102111917751,0.00975115626674,0.0336254419847,0.0918977707665,0.0,0.0112806890509,0.0157766639831,0.0276555763933,0.0216253873194,0.0411402720827,0.0283960923644,0.0842354788666,0.0272361490946,0.0361983564804,0.0248931908174,0.0785494134675
