,Angola,Australia,British_Virgin_Islands,Cameroon,Central_African_Republic,Comoros,Democratic_Republic_of_the_Congo,Dominican_Republic,El_Salvador,French_Polynesia,Gabon,Haiti,Honduras,Mauritius,Mayotte,Mexico,Micronesia,New_Caledonia,Nicaragua,Nigeria,Panama,Papua_New_Guinea,Puerto_Rico,Reunion,Saint_Lucia,Senegal,Seychelles,South_Africa,Tanzania,Tonga,Trinidad_and_Tobago,USA
Gabon,0.0517090285596,0.0196774667512,0.0331296029413,0.357081170602,0.0761468681609,0.0182710186733,0.0450750877424,0.0225141727254,0.0257650186942,0.031396041247,,0.0328905564443,0.020200348142,0.033036396455,0.0330861494028,0.041417595478,0.0255028541412,0.0180688322294,0.0292986884804,0.0408915625719,0.0224650162592,0.0189828981924,0.0245168199832,0.0398419256331,0.0452465816222,0.0776076317532,0.0290737483842,0.0188418714285,0.0365081664033,0.0157074423427,0.03183159609,0.0295121893369
Haiti,0.0392263868074,0.0298490455471,0.111492227266,0.0408728977218,0.0354726796036,0.0243611138271,0.0751101825519,0.068373857509,0.111115794718,0.0898257470551,0.0212188238008,,0.0495544238972,0.0398667149278,0.0384170920833,0.0430108290147,0.0945322866568,0.0361647259635,0.0597496354024,0.0779479067609,0.0643066768549,0.0452515935303,0.0624319995828,0.0290405904537,0.0548387226581,0.0458421684026,0.0299530077995,0.0247703112197,0.0508680564824,0.0495375815877,0.0637306600949,0.0261278800935
Honduras,0.0370634376997,0.0230302821675,0.119691518234,0.027064973931,0.0296897335291,0.0259772093789,0.0455587372984,0.0637657267744,0.0843856814597,0.10634554118,0.0407168176042,0.203274371369,,0.0366832991292,0.0215063660959,0.0562650255339,0.109728143468,0.0951992569806,0.0988890728741,0.0188531054794,0.105402079957,0.049879373479,0.0902379370064,0.0382973942081,0.0775164739755,0.0607895304869,0.0188705881735,0.0100231593485,0.0638088969761,0.110574027931,0.0636888620482,0.0669010183712
Mauritius,0.0351386573624,0.102971910784,0.0143102405407,0.0114983361819,0.0888571240549,0.0666013464755,0.0166430140766,0.0189057862657,0.00784750336268,0.0167113707871,0.0123384477349,0.0116722136809,0.00846630154007,,1.12518697509,0.0147853063791,0.0091264757468,0.00890211906789,0.018044539886,0.00960818178584,0.0380549231779,0.785426868981,0.0151552023717,0.153238822976,0.0230046282442,0.020297937432,0.067783038594,0.0273653408717,0.0606260640201,0.0162341746201,0.0214993697421,0.0936879800351
Mayotte,0.0446289239339,0.0696034804196,0.0237511904433,0.0342993943799,0.0506186220274,0.0411256909979,0.0556595146837,0.0493276015183,0.0279026989533,0.017927647019,0.0254566552658,0.0271456407224,0.013952219287,0.0644323450868,,0.0333870500612,0.0334259493133,0.0243125261512,0.0349274995971,0.0184580103818,0.0545129460719,0.210025448133,0.0230972285049,0.0785487274533,0.011980536968,0.0512707628604,0.0421869873133,0.0560366350464,0.0569624015518,0.0241482413692,0.0258000458097,0.0214980736995
Mexico,0.0143522945813,0.0220910097499,0.273810365805,0.0288241811446,0.0376762699939,0.0146160778608,0.0316610194095,0.248774254807,0.245213875696,0.15671011156,0.013815832201,0.234495897415,0.279647752158,0.0172680975418,0.0173346196949,,0.208370476075,0.136051855665,0.249706062924,0.0260388922116,0.187836517984,0.0254050207356,0.200118135073,0.0136884289249,0.180025960357,0.0304109461031,0.0172212871003,0.0325430644165,0.0105178676092,0.15748309028,0.162274738852,0.123343293863
Micronesia,0.054783610174,0.022510661847,0.0697789759809,0.0284713999611,0.0348676354652,0.025565473773,0.0360422307245,0.0611957399292,0.113757922615,0.043938147788,0.0383944892667,0.0839323073322,0.0415113419146,0.058452013481,0.0301586257115,0.0598836628935,,0.0693448476533,0.070087930226,0.0150122860074,0.0935877528166,0.0188164211509,0.0347338537005,0.0171356818588,0.0706647752638,0.0471915501908,0.0274068840084,0.0241553067338,0.0351177254155,0.152599937639,0.144039624399,0.0503800318156
New_Caledonia,0.0241023586952,0.0311697138803,0.0453316353627,0.0233704210533,0.0934410274082,0.036093256951,0.0487353183977,0.0550018741378,0.0822870805826,0.0791422972478,0.0219844018777,0.0813067150859,0.0557663529651,0.0251803376383,0.0235583039429,0.0605308599924,0.051431546159,,0.0584622032911,0.0201533912453,0.020022129153,0.0239045402943,0.0853468555914,0.0436354560082,0.115906489264,0.0771124663383,0.0316739925193,0.0231447336492,0.0557136042979,0.0871215636585,0.106843204066,0.0610843983816
Nicaragua,0.034429688768,0.0329914816247,0.153040981216,0.0142607677317,0.0415585508358,0.0218133730625,0.0371100716495,0.135816944595,0.178808670856,0.1979651159,0.0155253924742,0.123739948566,0.19134028451,0.0225884883695,0.00959552395627,0.167060270687,0.220383424406,0.146098113555,,0.0290762321063,0.120320203007,0.0258121986987,0.157025164418,0.034652344265,0.12149880833,0.0313375350823,0.0249199039158,0.033619976805,0.0582749510137,0.166143975823,0.0720610161289,0.135602245128
Nigeria,0.0260514633351,0.0301039028648,0.020402996847,0.0316468017925,0.113649065158,0.0395279421051,0.153151416947,0.0368330258229,0.0329686316583,0.0447380768188,0.0319747797942,0.0248725829102,0.0268017408457,0.0350470625057,0.0365598797965,0.013833822328,0.0401317136725,0.0464544127586,0.0355326044559,,0.0782818297432,0.040738978682,0.0485033304626,0.0717890183074,0.0237216906868,0.0626400391801,0.0331422634258,0.0415383105294,0.100872775134,0.0270259433457,0.033111188006,0.0421058240848
