,Angola,Australia,British_Virgin_Islands,Cameroon,Central_African_Republic,Comoros,Democratic_Republic_of_the_Congo,Dominican_Republic,El_Salvador,French_Polynesia,Gabon,Haiti,Honduras,Mauritius,Mayotte,Mexico,Micronesia,New_Caledonia,Nicaragua,Nigeria,Panama,Papua_New_Guinea,Puerto_Rico,Reunion,Saint_Lucia,Senegal,Seychelles,Tanzania,Tonga,Trinidad_and_Tobago,USA
Angola,,0.0734780252235,0.0216708638923,0.101373826965,0.0127893125563,0.0252531668389,0.0480024991126,0.0258329716713,0.0215013087189,0.0251379803029,0.178769558255,0.0478732731428,0.0171875099907,0.0864864939648,0.00881591289034,0.00309178586075,0.0542254902095,0.0597958992254,0.0626500495943,0.0158897136399,0.00340398469188,0.00765351054679,0.0675530998489,0.175908201572,0.0044882286676,0.0373464344592,0.0377733674343,0.225483763338,0.067219875534,0.0072008019843,0.14239069982
Australia,0.215538980546,,0.0193260298511,0.219030499056,0.0580943932043,0.059055023936,0.0457835543134,0.00801654969005,0.0939421417168,0.0290443244208,0.0393223854872,0.0156777848794,0.0554244808904,0.00833226885366,0.0259262430679,0.152336098905,0.0926597075392,0.0302331080399,0.0398400097822,0.109917579882,0.0753326434638,0.0478846068732,0.41780913981,0.0528406127667,0.0073068365757,0.0196741972408,0.0260956739535,0.0728988990649,0.0501805131809,0.00922219330208,0.0239619557992
British_Virgin_Islands,0.0104051281417,0.0252179081237,,0.0374209195715,0.126008580223,0.19196520408,0.0305338734963,0.120229237946,0.0419009734218,0.00970550948131,0.0412539407892,0.278654230677,0.0476419107382,0.191424397967,0.276831667412,0.211501393055,0.0405699745262,0.0532443777042,0.0182804879364,0.0138768053495,0.00702806953428,0.0626557396569,0.12714878051,0.0215368713191,0.0856005618259,0.0756819179665,0.0627013105834,0.0367827688504,0.0371480117828,0.172289949834,0.206103754102
Cameroon,0.25175790104,0.0341351833185,0.0303777771347,,0.041696148929,0.0243262998389,0.0469786777195,0.0529992637167,0.0369283522844,0.0542999450628,0.0155163127694,0.209470335452,0.0178930280033,0.00447538538041,0.0177440788496,0.00799581805983,0.0851538817525,0.0256515666649,0.0114355676389,0.0138495339813,0.0196901185574,0.137843312705,0.0235604489093,0.243201081242,0.020334355134,0.0413084178209,0.0072595128673,0.0579592532119,0.0167432468636,0.0678883015601,0.0123146151065
Central_African_Republic,0.0201301737515,0.0495774445847,0.245130445591,0.0311899243425,,0.020381660563,0.0120047476833,0.144247838525,0.0273549247221,0.022041960121,0.00941981449231,0.00348085529587,0.00219118657165,0.00994530084535,0.00248632521134,0.0219230242806,0.00298359025361,0.000497265042268,0.00696171059175,0.0271097545579,0.00546991546494,0.000497265042268,0.00302414330768,0.00298359025361,0.00557872554604,0.000497265042268,0.00745897563401,0.0503960050416,0.0014917951268,0.0045125714693,0.000497265042268
Comoros,0.0151797228076,0.0531330364114,0.437748629666,0.0455406546761,0.0693934201212,,0.0134261561412,0.00397812033814,0.00397812033814,0.00902470691471,0.00452497781788,0.00398016314826,0.00397812033814,0.00198906016907,0.000994530084535,0.00365239278348,0.207028523487,0.134874528333,0.0959909621514,0.0529082600852,0.0038715154725,0.0238591816847,0.0448387419537,0.0422107789534,0.0854916300385,0.0715699100272,0.0247460868408,0.0274583609723,0.283404719769,0.108622578993,0.0818594592023
Democratic_Republic_of_the_Congo,0.00104779738919,0.238146820982,0.0407857147718,0.014426655637,0.137031232325,0.140222490504,,0.103922783811,0.121113306372,0.0317162233177,0.0133773975109,0.0135282786058,0.0595535577478,0.021762362896,0.0724439846422,0.0451516065738,0.00984377480897,0.155802302703,0.105052170757,0.0136163556462,0.0191946092118,0.0647277238151,0.00438261406863,0.00905156546061,0.0124316260567,0.00611778113232,0.0623485433175,0.000497265042268,0.0029437677218,0.00632495366033,0.0107679882746
Dominican_Republic,0.0352221199057,0.0126116007482,0.0797839402716,0.0136897845076,0.00629815781147,0.0280674302813,0.0330696487829,,0.00657161461405,0.0254610722132,0.00511368956977,0.0696423904373,0.0124562831373,0.0159396147555,0.0119083816015,0.0361215220247,0.00696171059175,0.0106026581891,0.00348085529587,0.00237571491174,0.00397812033814,0.0014917951268,0.018154071725,0.0216494891429,0.00688048934912,0.00757285659017,0.000994530084535,0.00198906016907,0.00397812033814,0.0526552252933,0.109846065055
El_Salvador,0.0315840266742,0.146561919453,0.0527743308654,0.0140498630093,0.0186581845997,0.157535582179,0.00244346976143,0.054832533069,,0.134753830072,0.00745897563401,0.0254284223457,0.349794930691,0.0691316037098,0.0428540867724,0.0573052335267,0.00963720089083,0.214950518182,0.150931184589,0.0299586087255,0.0850692489059,0.0162114024664,0.0224636704442,0.0059983587998,0.164183025767,0.133880810558,0.0904799130559,0.0263105035864,0.0342049440445,0.0522567667013,0.361912340221
French_Polynesia,0.0145369878763,0.0462116165065,0.00506814717736,0.0103311255851,0.0121313603883,0.209008746147,0.00794666177798,0.0758530896377,0.0686316217495,,0.0552435504048,0.0318201619666,0.0325725310073,0.0786558018032,0.0596520792264,0.402378316981,0.0827936874147,0.0350654029674,0.0544374655427,0.0297824677155,0.0214305554542,0.0282951066253,0.0158024688566,0.143735713257,0.0101634769304,0.0116558075936,0.276148697436,0.859461564277,0.0216427287459,0.0387677923436,0.122047726184
Gabon,0.0210481084803,0.0342751043306,0.0396190326952,0.0089168025664,0.0183085361025,0.181833355603,0.0105543437638,0.00671052596617,0.266837452499,0.0131869639688,,0.0166121586527,0.0219999837372,0.0404842963084,0.0275408968457,0.0834037428154,0.0581113196952,0.113646958278,0.0482565628533,0.273022335348,0.0462702213128,0.0771131414123,0.0371826555314,0.00696941131476,0.108619101175,0.0140635674704,0.371559515746,0.0212353788863,0.159042979599,0.210115384539,0.0184576993976
